Bus Stop ID,Location,Direction,Route Number,Route Name,Benches,Bench Responsibility,Trash Cans,Trash Can Responsibility,Shelters,Shelter Responsibility,Longitude,Latitude,ObjectId,x,y
69,Caniff & Conant,Westbound,38,Plymouth,false, ,true,Third-Party,false, ,-83.0529071,42.40242,1527,-9245407.32727306,5221451.92365868
71,Lasalle & Webb,Westbound,38,Plymouth,true,Third-Party,false, ,false, ,-83.1111489,42.3847419,1528,-9251890.77479194,5218787.28611541
74,Chalmers & Warren,Northbound,68,Chalmers,false, ,false, ,false, ,-82.9590079,42.3957609,1529,-9234954.51614316,5220448.10279591
75,Chalmers & Harper,Northbound,68,Chalmers,false, ,false, ,false, ,-82.96468,42.4050531,1530,-9235585.93142689,5221848.87766755
76,7 Mile & Gratiot,Westbound,"7, 68","Seven Mile, Chalmers",true,Third-Party,true,City of Detroit,false, ,-82.9781509,42.4351509,1531,-9237085.50515542,5226387.4673665
79,7 Mile & Gratiot,Eastbound,"7, 68","Seven Mile, Chalmers",true,Third-Party,true,City of Detroit,false, ,-82.9769749,42.435021,1532,-9236954.59343424,5226367.8744486
80,Chalmers & Harper,Southbound,68,Chalmers,false, ,false, ,false, ,-82.964925,42.4051931,1533,-9235613.20470213,5221869.98388815
81,Warren & Guilford,Westbound,8,Warren,false, ,false, ,false, ,-82.9273701,42.4070711,1534,-9231432.61235734,5222153.11331542
83,Chalmers & Warren,Southbound,68,Chalmers,false, ,false, ,false, ,-82.9587528,42.395216,1535,-9234926.11854106,5220365.96698303
84,Greenfield & Warren,Southbound,10,Greenfield,true,Third-Party,true,Third-Party,false, ,-83.1964139,42.3439551,1536,-9261382.43117443,5212642.31239463
87,Chene & Gratiot,Northbound,52,Chene,false, ,false, ,false, ,-83.0323009,42.3530119,1537,-9243113.45558187,5214006.47302256
89,Joseph Campau & Holbrook,Northbound,52,Chene,true,Third-Party,false, ,true,Third-Party,-83.0559898,42.394191,1538,-9245750.49186732,5220211.46495476
91,Joseph Campau & Nevada,Northbound,52,Chene,false, ,false, ,false, ,-83.0728221,42.425622,1539,-9247624.2549322,5224950.32373754
92,Nevada & Van Dyke,Northbound,52,Chene,false, ,false, ,false, ,-83.0243971,42.4266501,1540,-9242233.60859054,5225105.3707187
95,Varjo & Van Dyke,Westbound,52,Chene,false, ,false, ,false, ,-83.0245569,42.4259889,1541,-9242251.39744517,5225005.65535644
96,Joseph Campau & Nevada,Southbound,52,Chene,false, ,false, ,false, ,-83.0732459,42.4251369,1542,-9247671.4321324,5224877.16705743
97,Joseph Campau & Davison,Southbound,52,Chene,false, ,false, ,false, ,-83.0685291,42.4125029,1543,-9247146.36035823,5222972.06540926
98,Joseph Campau & Holbrook,Southbound,52,Chene,false, ,true,Third-Party,false, ,-83.055725,42.3933671,1544,-9245721.01446616,5220087.27730007
99,Chene & I-94 Service Dr,Southbound,52,Chene,false, ,false, ,false, ,-83.0462811,42.3737881,1545,-9244669.72432706,5217136.58546759
100,Chene & Gratiot,Southbound,52,Chene,false, ,false, ,false, ,-83.0318939,42.3521599,1546,-9243068.14854912,5213878.13401632
105,Junction & Michigan,Northbound,11,Clairmount,false, ,false, ,false, ,-83.1119571,42.3315419,1547,-9251980.7432044,5210772.92059017
107,Joy & Grand River,Eastbound,11,Clairmount,false, ,false, ,false, ,-83.1298431,42.365464,1548,-9253971.80361673,5215882.36423755
108,Clairmount & Rosa Parks,Eastbound,11,Clairmount,false, ,false, ,false, ,-83.098875,42.3765521,1549,-9250524.45049389,5217553.08376651
110,I-75 Service Dr & Holbrook,Southbound,11,Clairmount,false, ,false, ,false, ,-83.068524,42.3859439,1550,-9247145.79262882,5218968.44098881
111,E Grand Bl & Chene,Eastbound,"11, 52","Clairmount, Chene",false, ,false, ,false, ,-83.0470271,42.374602,1551,-9244752.76866719,5217259.22754518
112,Harper & Gratiot,Eastbound,11,Clairmount,false, ,false, ,false, ,-83.0048982,42.3930449,1552,-9240063.00097151,5220038.71206522
116,St Jean & Warren,Northbound,11,Clairmount,false, ,true,City of Detroit,false, ,-82.9840158,42.3876791,1553,-9237738.38283697,5219229.96119682
118,E Grand Bl & Chene,Westbound,"11, 52","Clairmount, Chene",false, ,false, ,false, ,-83.0471139,42.3751519,1554,-9244762.43119899,5217342.08982645
119,Holbrook & I-75 Service Dr,Northbound,11,Clairmount,false, ,false, ,false, ,-83.0689711,42.386112,1555,-9247195.56357316,5218993.77581953
121,Clairmount & Rosa Parks,Westbound,11,Clairmount,false, ,true,City of Detroit,false,DDOT,-83.1001609,42.376205,1556,-9250667.5962271,5217500.77937381
122,Joy & Grand River,Westbound,11,Clairmount,false, ,false, ,false, ,-83.1307469,42.3652189,1557,-9254072.41417251,5215845.43668307
124,Seymour & MacCrary,Southbound,32,McNichols,false, ,false, ,false, ,-82.9698061,42.4270801,1558,-9236156.56626864,5225170.21944669
126,Seymour & Hayes,Eastbound,32,McNichols,false, ,false, ,false, ,-82.9648379,42.427118,1559,-9235603.50877448,5225175.93520474
